timestamp,Open,High,Low,Close,Volume
2026-09-16 04:00:00+00:00,7672.75,7673.25,7667.25,7668.0,0
2026-09-16 05:00:00+00:00,7668.0,7674.0,7665.5,7670.75,6075
2026-09-16 06:00:00+00:00,7670.5,7675.25,7669.25,7673.75,10182
2026-09-16 07:00:00+00:00,7673.75,7678.0,7669.75,7670.75,17837
2026-09-16 08:00:00+00:00,7670.75,7673.5,7663.5,7672.75,19632
2026-09-16 09:00:00+00:00,7672.5,7675.0,7665.5,7673.0,15361
2026-09-16 10:00:00+00:00,7673.25,7677.0,7669.5,7676.25,14548
2026-09-16 11:00:00+00:00,7676.25,7683.5,7672.0,7683.25,31360
2026-09-16 12:00:00+00:00,7683.0,7689.25,7674.0,7679.75,38130
2026-09-16 13:00:00+00:00,7679.75,7686.5,7669.0,7684.25,146378
2026-09-16 14:00:00+00:00,7684.5,7686.5,7669.5,7684.25,169490
2026-09-16 15:00:00+00:00,7684.25,7699.0,7682.0,7689.0,169727
2026-09-16 16:00:00+00:00,7689.0,7689.75,7678.25,7679.25,77716
2026-09-16 17:00:00+00:00,7679.5,7684.75,7674.0,7683.5,74438
2026-09-16 18:00:00+00:00,7684.5,7694.25,7617.5,7618.75,375601
2026-09-16 19:00:00+00:00,7618.75,7633.75,7575.0,7622.25,444277
2026-09-16 20:00:00+00:00,7622.25,7626.0,7617.25,7622.0,56267
2026-09-16 22:00:00+00:00,7624.0,7639.75,7617.5,7636.75,0
2026-09-16 23:00:00+00:00,7636.5,7657.5,7635.75,7657.25,15320
2026-09-17 00:00:00+00:00,7657.5,7667.75,7654.0,7664.0,22292
2026-09-17 01:00:00+00:00,7664.0,7668.0,7658.25,7660.0,13464
2026-09-17 02:00:00+00:00,7660.0,7669.75,7659.75,7665.25,10075
2026-09-17 03:00:00+00:00,7665.25,7670.25,7664.75,7669.75,6457
2026-09-17 04:00:00+00:00,7669.25,7670.25,7665.75,7667.25,5403
2026-09-17 05:00:00+00:00,7667.25,7667.75,7656.25,7657.25,8551
2026-09-17 06:00:00+00:00,7657.0,7677.5,7656.75,7675.25,19255
2026-09-17 07:00:00+00:00,7675.25,7689.25,7673.5,7680.25,29642
2026-09-17 08:00:00+00:00,7680.0,7684.5,7671.25,7683.25,18646
2026-09-17 09:00:00+00:00,7683.25,7689.25,7681.25,7682.75,14259
2026-09-17 10:00:00+00:00,7682.5,7689.5,7682.5,7687.5,14335
2026-09-17 11:00:00+00:00,7687.75,7695.5,7682.25,7695.25,33145
2026-09-17 12:00:00+00:00,7695.0,7722.25,7690.0,7717.5,81761
2026-09-17 13:00:00+00:00,7717.75,7722.0,7688.25,7693.75,189430
2026-09-17 14:00:00+00:00,7693.5,7703.75,7680.5,7688.25,203146
2026-09-17 15:00:00+00:00,7688.0,7706.5,7683.75,7706.5,130495
2026-09-17 16:00:00+00:00,7706.5,7708.0,7697.0,7706.0,113325
2026-09-17 17:00:00+00:00,7706.0,7709.25,7699.5,7707.75,83818
2026-09-17 18:00:00+00:00,7707.75,7711.25,7702.75,7705.75,95415
2026-09-17 19:00:00+00:00,7705.75,7715.5,7705.0,7707.25,194416
2026-09-17 20:00:00+00:00,7707.25,7708.5,7701.0,7702.25,44665
2026-09-17 22:00:00+00:00,7703.5,7704.25,7697.0,7699.0,0
2026-09-17 23:00:00+00:00,7699.25,7702.5,7699.0,7700.75,3667
